Title,Year,IMDbRating,TomatoRating
Killers of the Flower Moon,2023,8.1,93%
Don't Look Up,2021,7.2,N/A
Once Upon a Time in Hollywood,2019,7.6,85%
The Revenant,2015,8.0,78%
The Audition,2015,6.6,N/A
The Wolf of Wall Street,2013,8.2,80%
The Great Gatsby,2013,7.2,48%
Django Unchained,2012,8.5,87%
J. Edgar,2011,6.5,43%
Inception: The Cobol Job,2010,7.8,N/A
Inception,2010,8.8,87%
Shutter Island,2010,8.2,69%
Revolutionary Road,2008,7.3,67%
Body of Lies,2008,7.0,55%
Blood Diamond,2006,8.0,63%
The Departed,2006,8.5,91%
The Aviator,2004,7.5,86%
Catch Me If You Can,2002,8.1,96%
Gangs of New York,2002,7.5,73%
Don's Plum,2001,5.6,N/A
The Beach,2000,6.6,21%
Celebrity,1998,6.3,42%
The Man in the Iron Mask,1998,6.5,32%
Titanic,1997,7.9,88%
Marvin's Room,1996,6.7,84%
Romeo + Juliet,1996,6.7,73%
Total Eclipse,1995,6.5,22%
The Quick and the Dead,1995,6.5,58%
The Basketball Diaries,1995,7.3,47%
The Foot Shooting Party,1994,5.1,N/A
What's Eating Gilbert Grape,1993,7.7,90%
This Boy's Life,1993,7.3,76%
World War Z,2013,7.0,66%
Wolves,2014,5.3,20%
War Machine,2017,6.0,48%
Voyage of Time,2016,7.0,90%
True Romance,1993,7.9,93%
Troy,2004,7.3,53%
The Tree of Life,2011,6.8,85%
Thelma & Louise,1991,7.6,86%
The Lost City,2022,6.1,79%
The Counselor,2013,5.4,34%
The Big Short,2015,7.8,89%
The Audition,2015,6.6,N/A
Spy Game,2001,7.1,64%
Snatch,2000,8.2,74%
Sleepers,1996,7.5,73%
Sinbad: Legend of the Seven Seas,2003,6.7,45%
Seven Years in Tibet,1997,7.1,58%
Seven Samurai,1954,8.6,100%
A River Runs Through It,1992,7.2,80%
Once Upon a Time in Hollywood,2019,7.6,85%
Ocean's Twelve,2004,6.5,55%
Ocean's Eleven,2001,7.7,83%
Ocean's Thirteen,2007,6.9,70%
No Way Out,1987,7.1,91%
No Man's Land,2001,7.9,93%
Mr. & Mrs. Smith,2005,6.5,60%
Moneyball,2011,7.6,94%
The Mexican,2001,6.1,54%
Megamind,2010,7.3,73%
Meet Joe Black,1998,7.2,46%
Less Than Zero,1987,6.4,50%
Legends of the Fall,1994,7.5,N/A
Killing Them Softly,2012,6.2,74%
Kalifornia,1993,6.7,58%
Johnny Suede,1991,5.8,27%
Interview with the Vampire: The Vampire Chronicles,1994,7.5,63%
Inglourious Basterds,2009,8.4,89%
Hunk,1987,4.6,N/A
Happy Together,1997,7.7,84%
Happy Feet Two,2011,5.8,46%
Fury,2014,7.6,76%
Fight Club,1999,8.8,79%
The Favor,1994,5.2,27%
The Devil's Own,1997,6.2,35%
Deadpool 2,2018,7.6,84%
The Dark Side of the Sun,1988,5.4,N/A
Cutting Class,1989,4.5,14%
The Curious Case of Benjamin Button,2008,7.8,71%
Cool World,1992,4.8,4%
Contact,1997,7.5,68%
Confessions of a Dangerous Mind,2002,7.0,80%
By the Sea,2015,5.3,35%
Burn After Reading,2008,7.0,78%
Bullet Train,2022,7.3,54%
Being John Malkovich,1999,7.7,94%
Babylon,2022,7.1,57%
Babel,2006,7.5,69%
The Assassination of Jesse James by the Coward Robert Ford,2007,7.5,77%
Allied,2016,7.1,60%
Ad Astra,2019,6.5,83%
Across the Tracks,1990,5.7,N/A
12 Years a Slave,2013,8.1,95%
12 Monkeys,1995,8.0,88%
